Feature,Mean_SHAP,Mean_Abs_SHAP,Std_SHAP
malnutrition_indicator_sco,0.0805706866518938,0.8564002423735572,0.8930953189500745
Neglecta timonensis,-0.03487429937796254,0.4567788833189853,0.5228439470385748
Clostridium leptum,-0.038850491894180064,0.39911536592585595,0.42230914702026373
Faecalibacterium prausnitzii,0.005086828262037523,0.39000486402694146,0.4127898976800877
clinical_frailty_scale,0.008769365263278414,0.31815001366782103,0.36358000709211197
GGB3433 SGB4573,-0.03964845112662338,0.2874235064438622,0.2984427223498736
cholinesterase inhibitors,-0.020323455103321987,0.2725743952566056,0.3783589432752797
Streptococcus salivarius,-0.017332170848299553,0.26961005115740344,0.289370780923185
Atypical Antipsychotics,0.04031530713479295,0.21729433645723295,0.3835669642839149
Cloacibacillus evryensis,-0.008630896041810977,0.20680614989647844,0.3250985056405368
Blautia wexlerae,-0.0029358710978393764,0.20574401903859316,0.2286448717705133
Statins,-0.010356636794558798,0.19508525033313448,0.24717953822608046
Bacteroides cellulosilyticus,-0.0046227285068970924,0.19326979274983644,0.20732493273071007
Seizure Medications,-0.00334096199603843,0.18743354078412774,0.25764416793447875
Bilophila wadsworthia,0.001189098919886871,0.18713004712637513,0.22828496795961317
Blautia producta,-0.013210881480366947,0.18107025765065787,0.267169556486057
Phocaeicola dorei,-0.010888194070793087,0.16974258973919695,0.18221006776929494
Bacteroides xylanisolvens,0.0003011480465409252,0.15456852866275644,0.18738558466672808
Probiotics,-0.016271513399866468,0.1424785869313617,0.23593071905364682
Bacteroides uniformis,-0.006228808032837319,0.13930818986590413,0.1578329450693236
Dialister invisus,-0.018132957100074277,0.13713599700999798,0.1652633421460984
age_cat,-0.002423258230975642,0.13697967989996196,0.21734193644465494
Bacteroides fragilis,-0.008521257498736693,0.13567501334561274,0.21034707697989122
Barnesiella intestinihominis,0.011506573696454738,0.1333467394331391,0.19924658488482344
Ruminococcus gnavus,-0.019461787731890553,0.13220082025074187,0.15902723143049605
PPI,-0.010563397268291379,0.11878961357059033,0.14332911258194211
polypharm5,-0.013326057301181542,0.11865523546184108,0.15139373125518485
Clostridia bacterium,-0.0003530826936399433,0.11437670094396195,0.13199172217772287
Phocaeicola vulgatus,0.004785321094477403,0.10910131221862307,0.1595920267391232
